customer_id,age,income,preferred_product,transactions_last_year,avg_spend,recency_days,loyalty_score
1,56,46738,Toothbrush,13,6.34,94,72
2,46,45286,Mouthwash,5,8.27,71,65
3,32,40783,Whitening Kit,12,10.36,20,89
4,60,63760,Toothbrush,4,9.85,39,76
5,25,35178,Whitening Kit,9,10.08,3,86
6,38,63388,Mouthwash,12,8.82,3,91
7,56,50998,Whitening Kit,5,9.9,31,76
8,36,28208,Toothbrush,10,7.57,7,86
9,40,49411,Mouthwash,9,8.29,1,81
10,28,19799,Mouthwash,8,14.47,56,73
11,28,52506,Toothpaste,9,9.7,27,77
12,41,55622,Toothpaste,7,7.55,114,66
13,53,37891,Whitening Kit,6,9.51,65,69
14,57,46482,Toothpaste,10,4.86,70,70
15,41,68449,Toothpaste,12,6.7,84,75
16,20,38931,Toothpaste,8,6.99,39,78
17,39,32293,Toothpaste,9,5.71,108,68
18,19,62779,Toothbrush,11,11.93,3,87
19,41,68551,Toothbrush,9,8.69,59,80
20,61,45044,Toothpaste,6,8.96,2,81
21,47,57137,Whitening Kit,8,7.24,47,77
22,55,61097,Toothbrush,6,4.62,96,70
23,19,36090,Toothpaste,9,7.34,20,81
24,38,39176,Toothbrush,7,6.44,100,62
25,50,59770,Mouthwash,7,4.96,27,79
26,29,65220,Toothbrush,6,9.4,84,67
27,39,51754,Toothbrush,9,6.83,19,87
28,61,34442,Whitening Kit,13,3.05,55,85
29,42,68844,Toothbrush,5,7.5,63,70
30,44,38628,Whitening Kit,2,7.55,85,68
31,59,40978,Mouthwash,5,9.38,43,76
32,45,49108,Toothpaste,6,7.8,84,72
33,33,63649,Whitening Kit,9,5.97,5,87
34,32,55247,Toothbrush,11,8.74,119,65
35,64,49978,Toothbrush,9,5.88,20,83
36,61,50559,Whitening Kit,5,9.26,76,65
37,20,45522,Mouthwash,10,10.39,112,68
38,54,51697,Toothpaste,5,1.3,61,68
39,24,14645,Toothbrush,14,5.63,62,83
40,38,41440,Mouthwash,5,8.66,74,64
41,26,47895,Toothpaste,8,7.73,117,66
42,56,31187,Toothpaste,6,10.74,63,71
43,35,49635,Toothbrush,13,10.63,22,92
44,21,42546,Whitening Kit,8,9.82,38,76
45,42,66065,Toothbrush,6,3.28,92,71
46,31,63876,Toothbrush,7,7.09,12,79
47,26,39410,Toothbrush,5,9.1,103,65
48,43,43189,Mouthwash,11,7.43,74,79
49,19,44112,Whitening Kit,11,7.18,112,68
50,37,39580,Mouthwash,9,10.59,61,78
51,45,47340,Toothbrush,5,8.4,99,62
52,64,35900,Whitening Kit,11,6.87,48,81
53,24,31432,Toothpaste,6,4.54,108,64
54,61,52472,Whitening Kit,10,11.8,104,70
55,25,52554,Toothbrush,4,8.26,101,67
56,64,35348,Whitening Kit,7,6.33,17,80
57,52,55744,Toothpaste,11,9.83,116,69
58,31,37421,Toothpaste,10,3.49,91,73
59,34,48037,Whitening Kit,7,11.88,52,75
60,53,54844,Toothpaste,10,9.03,46,74
61,57,44596,Mouthwash,8,12.99,56,78
62,21,50456,Whitening Kit,3,9.08,29,79
63,19,38802,Toothpaste,7,8.1,90,66
64,23,42642,Toothpaste,6,5.99,73,71
65,59,42529,Whitening Kit,8,6.4,51,78
66,21,36041,Mouthwash,9,4.4,76,75
67,46,42878,Whitening Kit,10,12.44,107,65
68,35,26416,Toothpaste,12,7.83,26,85
69,43,39106,Whitening Kit,10,9.68,97,73
70,61,41581,Toothpaste,7,10.07,96,66
71,51,41925,Toothbrush,7,6.94,75,69
72,27,42102,Whitening Kit,13,5.49,29,87
73,53,44258,Whitening Kit,8,5.71,59,74
74,31,50753,Toothpaste,13,3.63,8,89
75,48,55494,Toothpaste,5,4.7,25,84
76,32,37202,Toothpaste,7,8.84,84,64
77,25,30561,Toothpaste,9,10.06,21,81
78,31,32495,Whitening Kit,3,7.51,4,83
79,40,39153,Toothpaste,11,9.81,36,80
80,57,40776,Whitening Kit,5,9.87,43,69
81,38,35760,Mouthwash,6,6.71,93,65
82,33,29446,Whitening Kit,8,10.22,83,71
83,62,39526,Toothpaste,4,7.09,26,73
84,35,47177,Toothpaste,5,6.43,36,76
85,64,52140,Mouthwash,15,7.72,89,79
86,41,38310,Whitening Kit,4,3.98,23,76
87,43,40044,Mouthwash,5,7.41,102,62
88,42,33879,Whitening Kit,14,1.73,92,75
89,62,44622,Toothpaste,5,9.19,41,73
90,58,34818,Whitening Kit,12,4.26,75,81
91,46,51877,Toothpaste,13,7.48,93,76
92,32,23569,Toothpaste,5,11.21,44,71
93,62,40684,Toothbrush,6,7.68,50,76
94,18,48613,Toothbrush,8,2.77,84,75
95,42,47206,Whitening Kit,8,7.82,9,77
96,24,77316,Toothpaste,6,6.86,88,61
97,26,49197,Mouthwash,3,9.83,47,67
98,41,32951,Toothpaste,10,7.22,113,67
99,18,43854,Mouthwash,6,10.29,41,74
100,61,23685,Whitening Kit,7,8.59,13,84
101,25,44032,Whitening Kit,4,9.69,58,71
102,41,35003,Mouthwash,7,7.27,66,75
103,28,55984,Mouthwash,10,10.71,81,71
104,34,38405,Toothpaste,4,6.22,114,50
105,25,43598,Whitening Kit,10,2.92,58,78
106,52,37373,Toothpaste,7,4.76,91,64
107,52,65866,Mouthwash,11,7.8,102,67
108,50,41145,Toothbrush,9,8.18,66,73
109,22,66990,Toothbrush,7,7.89,33,76
110,59,54769,Toothbrush,9,10.55,69,73
111,56,50784,Mouthwash,6,7.97,78,66
112,58,49424,Toothpaste,8,8.32,27,85
113,45,49725,Whitening Kit,6,9.95,50,73
114,24,21867,Mouthwash,8,3.31,59,74
115,26,41653,Toothbrush,10,9.31,100,70
116,25,55141,Toothpaste,9,10.79,91,72
117,29,44413,Whitening Kit,7,9.29,78,66
118,51,28137,Whitening Kit,13,8.29,79,76
119,50,44371,Mouthwash,9,9.51,27,78
120,40,65449,Mouthwash,10,2.13,59,76
121,41,59962,Whitening Kit,7,7.18,56,70
122,54,44255,Whitening Kit,9,4.25,118,63
123,52,56417,Toothbrush,7,8.46,72,71
124,61,40601,Whitening Kit,9,4.99,85,67
125,57,24553,Mouthwash,10,9.62,34,79
126,39,33906,Toothpaste,6,6.46,49,74
127,44,63754,Toothbrush,6,4.28,92,71
128,52,41712,Toothbrush,1,5.14,88,59
129,18,42079,Whitening Kit,10,4.22,17,78
130,52,41401,Toothpaste,5,7.41,116,58
131,54,67849,Toothbrush,13,9.04,70,78
132,64,64511,Mouthwash,13,5.89,38,86
133,31,71625,Whitening Kit,11,3.85,83,79
134,20,43091,Mouthwash,9,7.47,1,83
135,18,48547,Whitening Kit,7,7.41,38,76
136,22,26800,Toothbrush,6,6.25,26,81
137,43,62723,Whitening Kit,9,5.54,69,75
138,31,30986,Toothpaste,8,10.7,68,74
139,56,47601,Mouthwash,6,6.02,25,77
140,44,31832,Toothpaste,10,3.9,109,68
141,26,37933,Mouthwash,9,7.28,116,62
142,32,34952,Mouthwash,7,8.82,113,58
143,32,37705,Whitening Kit,10,8.65,58,76
144,43,38530,Toothbrush,8,3.5,45,83
145,59,38420,Toothbrush,6,10.54,22,76
146,30,55000,Toothpaste,7,8.03,48,73
147,49,31741,Whitening Kit,10,8.93,13,83
148,56,47646,Toothbrush,5,14.13,87,61
149,49,59615,Mouthwash,9,9.4,97,65
150,21,38841,Mouthwash,5,8.93,25,76
151,47,36384,Whitening Kit,8,6.94,10,89
152,54,42233,Toothpaste,4,7.49,18,75
153,40,59156,Whitening Kit,7,4.49,55,71
154,56,47329,Toothpaste,5,7.71,27,71
155,62,38625,Whitening Kit,16,11.57,56,81
156,32,50806,Mouthwash,2,8.57,56,64
157,60,31772,Whitening Kit,8,13.08,49,78
158,46,53176,Toothbrush,9,8.82,26,81
159,53,49903,Toothbrush,11,8.2,113,74
160,30,41306,Whitening Kit,8,7.15,106,69
161,49,34936,Toothpaste,6,12.43,116,61
162,24,34359,Toothpaste,11,6.34,2,89
163,39,51417,Mouthwash,7,5.68,74,71
164,45,59747,Mouthwash,10,5.3,60,72
165,19,37352,Toothpaste,10,13.15,84,80
166,59,50500,Whitening Kit,8,7.87,38,75
167,62,19955,Mouthwash,7,7.71,3,78
168,23,37984,Toothpaste,3,8.8,74,65
169,45,44627,Toothpaste,13,6.87,92,74
170,45,34083,Whitening Kit,7,5.59,83,66
171,61,33761,Toothbrush,7,5.47,81,68
172,61,36986,Toothpaste,12,5.39,108,72
173,37,48506,Mouthwash,5,2.49,53,68
174,47,42752,Whitening Kit,7,7.65,44,80
175,28,18141,Whitening Kit,7,3.6,23,81
176,45,19551,Whitening Kit,6,8.87,28,79
177,42,37717,Toothbrush,9,9.59,91,70
178,56,50492,Toothbrush,6,5.99,32,78
179,50,12029,Mouthwash,7,8.34,102,71
180,18,39003,Mouthwash,11,9.32,76,72
181,44,38685,Whitening Kit,10,11.26,20,81
182,30,61660,Mouthwash,4,6.53,6,80
183,58,40379,Toothpaste,11,3.97,3,86
184,20,49595,Toothbrush,9,5.24,3,81
185,56,46695,Whitening Kit,11,3.35,23,85
186,23,19433,Whitening Kit,4,8.69,73,65
187,25,54218,Toothpaste,7,-0.55,33,79
188,44,47584,Toothpaste,7,4.99,36,75
189,26,51099,Toothpaste,12,7.53,64,72
190,54,92114,Toothpaste,7,4.8,12,79
191,50,19990,Whitening Kit,14,5.35,62,82
192,59,65696,Toothbrush,7,9.57,26,79
193,61,41550,Toothbrush,3,4.7,37,74
194,41,48447,Toothpaste,9,6.36,114,66
195,32,44453,Mouthwash,13,9.82,48,84
196,49,39909,Whitening Kit,6,6.57,74,70
197,49,38162,Toothbrush,5,13.51,44,79
198,41,48954,Toothpaste,6,10.24,11,82
199,58,26793,Mouthwash,5,10.37,83,67
200,29,54006,Mouthwash,5,4.03,69,64
201,56,40005,Toothpaste,6,7.25,24,76
202,19,31439,Whitening Kit,15,6.79,99,76
