customer_id,age,income,preferred_product,transactions_last_year,avg_spend,recency_days,loyalty_score,R,F,M,cluster
1,56,46738,Toothbrush,13,6.34,94,72,94,13,82.42,3
2,46,45286,Mouthwash,5,8.27,71,65,71,5,41.349999999999994,0
3,32,40783,Whitening Kit,12,10.36,20,89,20,12,124.32,1
4,60,63760,Toothbrush,4,9.85,39,76,39,4,39.4,2
5,25,35178,Whitening Kit,9,10.08,3,86,3,9,90.72,2
6,38,63388,Mouthwash,12,8.82,3,91,3,12,105.84,1
7,56,50998,Whitening Kit,5,9.9,31,76,31,5,49.5,2
8,36,28208,Toothbrush,10,7.57,7,86,7,10,75.7,2
9,40,49411,Mouthwash,9,8.29,1,81,1,9,74.60999999999999,2
10,28,19799,Mouthwash,8,14.47,56,73,56,8,115.76,1
11,28,52506,Toothpaste,9,9.7,27,77,27,9,87.3,1
12,41,55622,Toothpaste,7,7.55,114,66,114,7,52.85,3
13,53,37891,Whitening Kit,6,9.51,65,69,65,6,57.06,0
14,57,46482,Toothpaste,10,4.86,70,70,70,10,48.6,3
15,41,68449,Toothpaste,12,6.7,84,75,84,12,80.4,3
16,20,38931,Toothpaste,8,6.99,39,78,39,8,55.92,2
17,39,32293,Toothpaste,9,5.71,108,68,108,9,51.39,3
18,19,62779,Toothbrush,11,11.93,3,87,3,11,131.23,1
19,41,68551,Toothbrush,9,8.69,59,80,59,9,78.21,3
20,61,45044,Toothpaste,6,8.96,2,81,2,6,53.760000000000005,2
21,47,57137,Whitening Kit,8,7.24,47,77,47,8,57.92,2
22,55,61097,Toothbrush,6,4.62,96,70,96,6,27.72,0
23,19,36090,Toothpaste,9,7.34,20,81,20,9,66.06,2
24,38,39176,Toothbrush,7,6.44,100,62,100,7,45.080000000000005,0
25,50,59770,Mouthwash,7,4.96,27,79,27,7,34.72,2
26,29,65220,Toothbrush,6,9.4,84,67,84,6,56.400000000000006,0
27,39,51754,Toothbrush,9,6.83,19,87,19,9,61.47,2
28,61,34442,Whitening Kit,13,3.05,55,85,55,13,39.65,3
29,42,68844,Toothbrush,5,7.5,63,70,63,5,37.5,0
30,44,38628,Whitening Kit,2,7.55,85,68,85,2,15.1,0
31,59,40978,Mouthwash,5,9.38,43,76,43,5,46.900000000000006,2
32,45,49108,Toothpaste,6,7.8,84,72,84,6,46.8,0
33,33,63649,Whitening Kit,9,5.97,5,87,5,9,53.73,2
34,32,55247,Toothbrush,11,8.74,119,65,119,11,96.14,3
35,64,49978,Toothbrush,9,5.88,20,83,20,9,52.92,2
36,61,50559,Whitening Kit,5,9.26,76,65,76,5,46.3,0
37,20,45522,Mouthwash,10,10.39,112,68,112,10,103.9,3
38,54,51697,Toothpaste,5,1.3,61,68,61,5,6.5,0
39,24,14645,Toothbrush,14,5.63,62,83,62,14,78.82,1
40,38,41440,Mouthwash,5,8.66,74,64,74,5,43.3,0
41,26,47895,Toothpaste,8,7.73,117,66,117,8,61.84,3
42,56,31187,Toothpaste,6,10.74,63,71,63,6,64.44,0
43,35,49635,Toothbrush,13,10.63,22,92,22,13,138.19,1
44,21,42546,Whitening Kit,8,9.82,38,76,38,8,78.56,2
45,42,66065,Toothbrush,6,3.28,92,71,92,6,19.68,0
46,31,63876,Toothbrush,7,7.09,12,79,12,7,49.629999999999995,2
47,26,39410,Toothbrush,5,9.1,103,65,103,5,45.5,0
48,43,43189,Mouthwash,11,7.43,74,79,74,11,81.72999999999999,3
49,19,44112,Whitening Kit,11,7.18,112,68,112,11,78.97999999999999,3
50,37,39580,Mouthwash,9,10.59,61,78,61,9,95.31,1
51,45,47340,Toothbrush,5,8.4,99,62,99,5,42.0,0
52,64,35900,Whitening Kit,11,6.87,48,81,48,11,75.57000000000001,1
53,24,31432,Toothpaste,6,4.54,108,64,108,6,27.240000000000002,0
54,61,52472,Whitening Kit,10,11.8,104,70,104,10,118.0,1
55,25,52554,Toothbrush,4,8.26,101,67,101,4,33.04,0
56,64,35348,Whitening Kit,7,6.33,17,80,17,7,44.31,2
57,52,55744,Toothpaste,11,9.83,116,69,116,11,108.13,3
58,31,37421,Toothpaste,10,3.49,91,73,91,10,34.900000000000006,3
59,34,48037,Whitening Kit,7,11.88,52,75,52,7,83.16000000000001,2
60,53,54844,Toothpaste,10,9.03,46,74,46,10,90.3,1
61,57,44596,Mouthwash,8,12.99,56,78,56,8,103.92,1
62,21,50456,Whitening Kit,3,9.08,29,79,29,3,27.240000000000002,2
63,19,38802,Toothpaste,7,8.1,90,66,90,7,56.699999999999996,3
64,23,42642,Toothpaste,6,5.99,73,71,73,6,35.94,0
65,59,42529,Whitening Kit,8,6.4,51,78,51,8,51.2,2
66,21,36041,Mouthwash,9,4.4,76,75,76,9,39.6,3
67,46,42878,Whitening Kit,10,12.44,107,65,107,10,124.39999999999999,1
68,35,26416,Toothpaste,12,7.83,26,85,26,12,93.96000000000001,1
69,43,39106,Whitening Kit,10,9.68,97,73,97,10,96.8,3
70,61,41581,Toothpaste,7,10.07,96,66,96,7,70.49000000000001,3
71,51,41925,Toothbrush,7,6.94,75,69,75,7,48.580000000000005,0
72,27,42102,Whitening Kit,13,5.49,29,87,29,13,71.37,1
73,53,44258,Whitening Kit,8,5.71,59,74,59,8,45.68,2
74,31,50753,Toothpaste,13,3.63,8,89,8,13,47.19,2
75,48,55494,Toothpaste,5,4.7,25,84,25,5,23.5,2
76,32,37202,Toothpaste,7,8.84,84,64,84,7,61.879999999999995,3
77,25,30561,Toothpaste,9,10.06,21,81,21,9,90.54,1
78,31,32495,Whitening Kit,3,7.51,4,83,4,3,22.53,2
79,40,39153,Toothpaste,11,9.81,36,80,36,11,107.91000000000001,1
80,57,40776,Whitening Kit,5,9.87,43,69,43,5,49.349999999999994,2
81,38,35760,Mouthwash,6,6.71,93,65,93,6,40.26,0
82,33,29446,Whitening Kit,8,10.22,83,71,83,8,81.76,3
83,62,39526,Toothpaste,4,7.09,26,73,26,4,28.36,2
84,35,47177,Toothpaste,5,6.43,36,76,36,5,32.15,2
85,64,52140,Mouthwash,15,7.72,89,79,89,15,115.8,1
86,41,38310,Whitening Kit,4,3.98,23,76,23,4,15.92,2
87,43,40044,Mouthwash,5,7.41,102,62,102,5,37.05,0
88,42,33879,Whitening Kit,14,1.73,92,75,92,14,24.22,3
89,62,44622,Toothpaste,5,9.19,41,73,41,5,45.949999999999996,2
